project_id,hectares,carbon_credits_tco2e,price_usd_per_credit,revenue_usd,capex_usd,opex_usd,npv_usd,irr_pct,status
NBS-C01,1250,20000,12.50,250000,500000,50000,812450,18.4,active
NBS-C02,3400,45000,9.75,438750,1200000,90000,1540230,15.7,active
NBS-C03,420,5500,15.00,82500,180000,25000,196340,14.2,active
NBS-C04,1800,18000,11.20,201600,650000,55000,512870,12.9,active
NBS-C05,960,12000,13.40,160800,420000,40000,428910,16.1,active
NBS-C06,720,9500,14.10,133950,380000,38000,321560,13.8,active
NBS-C07,2100,7200,8.90,64080,220000,30000,128740,11.5,pipeline
NBS-C08,310,6800,16.25,110500,310000,28000,284320,17.6,active
NBS-C09,5200,30000,10.50,315000,950000,75000,1105640,14.0,active
NBS-C10,180,4200,15.75,66150,140000,18000,152480,15.9,active
NBS-C11,640,8800,12.00,105600,280000,32000,247910,13.4,active
NBS-C12,890,10500,13.80,144900,360000,35000,351260,14.8,active
NBS-C13,510,6900,11.90,82110,260000,26000,178540,12.7,pipeline
NBS-C14,240,5100,17.20,87720,195000,22000,218370,16.9,active
NBS-C15,2750,22000,10.80,237600,720000,60000,621480,13.9,active
NBS-C16,1420,15500,9.60,148800,540000,45000,372910,12.1,active
NBS-C17,1680,19500,12.75,248625,610000,52000,738420,17.2,active
NBS-C18,380,4800,11.40,54720,170000,20000,108260,11.8,pipeline
NBS-C19,810,9200,13.10,120520,330000,30000,276850,14.5,active
NBS-C20,150,3600,18.40,66240,125000,16000,142830,16.4,active
