project_id,project_name,currency,capex_usd,opex_annual_usd,expected_credits_per_year,price_per_credit_usd,project_start_date,project_duration_years,country
NBS-C01,Mangrove Restoration Kalimantan,USD,500000,50000,20000,12.50,2025-01-15,15,Indonesia
NBS-C02,Peatland Rewetting Riau,USD,1200000,90000,45000,9.75,2025-02-01,20,Indonesia
NBS-C03,Agroforestry Sulawesi,USD,180000,25000,5500,15.00,2025-03-10,10,Indonesia
NBS-C04,Atlantic Forest Reforestation,BRL,650000,55000,18000,11.20,2025-01-20,25,Brazil
NBS-C05,Andes Watershed Conservation,USD,420000,40000,12000,13.40,2025-04-05,15,Peru
NBS-C06,Bamboo Plantation Papua,USD,380000,38000,9500,14.10,2025-02-15,12,Indonesia
NBS-C07,Kenyan Savanna Rangeland Carbon,USD,220000,30000,7200,8.90,2025-05-01,20,Kenya
NBS-C08,Seagrass Restoration Java,USD,310000,28000,6800,16.25,2025-03-20,10,Indonesia
NBS-C09,Boreal Forest Conservation,CAD,950000,75000,30000,10.50,2025-01-10,30,Canada
NBS-C10,Mangrove Nursery Aceh,USD,140000,18000,4200,15.75,2025-06-01,12,Indonesia
NBS-C11,Cerrado Soil Carbon,BRL,280000,32000,8800,12.00,2025-02-28,15,Brazil
NBS-C12,Madagascar Reforestation,USD,360000,35000,10500,13.80,2025-04-15,20,Madagascar
NBS-C13,Coastal Resilience Vietnam,USD,260000,26000,6900,11.90,2025-03-01,15,Vietnam
NBS-C14,Coffee Agroforestry Colombia,COP,195000,22000,5100,17.20,2025-05-10,10,Colombia
NBS-C15,Wetland Conservation Borneo,USD,720000,60000,22000,10.80,2025-01-25,20,Indonesia
NBS-C16,Australian Eucalyptus Restoration,AUD,540000,45000,15500,9.60,2025-06-15,18,Australia
NBS-C17,Mangrove Carbon Credit Sumatra,USD,610000,52000,19500,12.75,2025-02-10,18,Indonesia
NBS-C18,Highland Restoration Ethiopia,USD,170000,20000,4800,11.40,2025-04-20,15,Ethiopia
NBS-C19,Mekong Watershed Restoration,USD,330000,30000,9200,13.10,2025-03-15,15,Cambodia
NBS-C20,Permaculture Belize,BZD,125000,16000,3600,18.40,2025-05-20,10,Belize
